key,value
Gender Development Index (value) (1994),.967
Gender Development Index (value) (1995),.978
Gender Development Index (value) (1996),.986
Gender Development Index (value) (1997),.981
Gender Development Index (value) (1998),.97
Gender Development Index (value) (1999),.969
Gender Development Index (value) (2000),.969
Gender Development Index (value) (2001),.969
Gender Development Index (value) (2002),.97
Gender Development Index (value) (2003),.975
Gender Development Index (value) (2004),.979
Gender Development Index (value) (2005),.976
Gender Development Index (value) (2006),.978
Gender Development Index (value) (2007),.987
Gender Development Index (value) (2008),.988
Gender Development Index (value) (2009),.989
Gender Development Index (value) (2010),.997
Gender Development Index (value) (2011),1.01
Gender Development Index (value) (2012),1.01
Gender Development Index (value) (2013),.998
Gender Development Index (value) (2014),1.009
Gender Development Index (value) (2015),1.01
Gender Development Index (value) (2016),.996
Gender Development Index (value) (2017),.995
Gender Development Index (value) (2018),1.011
Gender Development Index (value) (2019),1.013
Gender Development Index (value) (2020),1.013
Gender Development Index (value) (2021),1.012
HDI female (1990),.5591776265664395
HDI female (1991),.5696282227908502
HDI female (1992),.5800589602728959
HDI female (1993),.590949241573837
HDI female (1994),.6012147335528329
HDI female (1995),.6114604566395113
HDI female (1996),.6225619606862143
HDI female (1997),.6287058864927075
HDI female (1998),.6294920884503998
HDI female (1999),.6349478720360454
HDI female (2000),.6416333670483622
HDI female (2001),.6522855223008648
HDI female (2002),.6644282376410654
HDI female (2003),.6775012011943417
HDI female (2004),.6885377730132917
HDI female (2005),.6961469509892441
HDI female (2006),.7036087637369649
HDI female (2007),.7180100380751736
HDI female (2008),.7214015251517882
HDI female (2009),.7252012956468196
HDI female (2010),.7348839618432582
HDI female (2011),.7468415083872499
HDI female (2012),.7495883493058577
HDI female (2013),.7456358106671469
HDI female (2014),.7818070765575529
HDI female (2015),.7849184782238777
HDI female (2016),.782386153453515
HDI female (2017),.7874370085863206
HDI female (2018),.7995538730582539
HDI female (2019),.808991323682471
HDI female (2020),.807540678189882
HDI female (2021),.8053943099181431
"Life Expectancy at Birth, female (years) (1990)",74.2037
"Life Expectancy at Birth, female (years) (1991)",74.60039999999999
"Life Expectancy at Birth, female (years) (1992)",74.8877
"Life Expectancy at Birth, female (years) (1993)",75.2747
"Life Expectancy at Birth, female (years) (1994)",75.5831
"Life Expectancy at Birth, female (years) (1995)",75.7414
"Life Expectancy at Birth, female (years) (1996)",76.4903
"Life Expectancy at Birth, female (years) (1997)",77.0686
"Life Expectancy at Birth, female (years) (1998)",77.2222
"Life Expectancy at Birth, female (years) (1999)",76.7385
"Life Expectancy at Birth, female (years) (2000)",76.43219999999999
"Life Expectancy at Birth, female (years) (2001)",76.63379999999999
"Life Expectancy at Birth, female (years) (2002)",76.9164
"Life Expectancy at Birth, female (years) (2003)",77.1126
"Life Expectancy at Birth, female (years) (2004)",76.99590000000001
"Life Expectancy at Birth, female (years) (2005)",77.75839999999999
"Life Expectancy at Birth, female (years) (2006)",79.1083
"Life Expectancy at Birth, female (years) (2007)",79.4066
"Life Expectancy at Birth, female (years) (2008)",79.7291
"Life Expectancy at Birth, female (years) (2009)",80.05240000000001
"Life Expectancy at Birth, female (years) (2010)",80.3583
"Life Expectancy at Birth, female (years) (2011)",80.6682
"Life Expectancy at Birth, female (years) (2012)",81.0301
"Life Expectancy at Birth, female (years) (2013)",81.3647
"Life Expectancy at Birth, female (years) (2014)",81.7076
"Life Expectancy at Birth, female (years) (2015)",82.02970000000001
"Life Expectancy at Birth, female (years) (2016)",82.58759999999999
"Life Expectancy at Birth, female (years) (2017)",82.8635
"Life Expectancy at Birth, female (years) (2018)",83.1489
"Life Expectancy at Birth, female (years) (2019)",83.43259999999999
"Life Expectancy at Birth, female (years) (2020)",83.697
"Life Expectancy at Birth, female (years) (2021)",83.0408
"Expected Years of Schooling, female (years) (1990)",8.317844437
"Expected Years of Schooling, female (years) (1991)",8.590429200999999
"Expected Years of Schooling, female (years) (1992)",8.871946863
"Expected Years of Schooling, female (years) (1993)",9.162690163000001
"Expected Years of Schooling, female (years) (1994)",9.462961435
"Expected Years of Schooling, female (years) (1995)",9.763232708
"Expected Years of Schooling, female (years) (1996)",10.06350398
"Expected Years of Schooling, female (years) (1997)",10.36377525
"Expected Years of Schooling, female (years) (1998)",10.66404653
"Expected Years of Schooling, female (years) (1999)",10.9643178
"Expected Years of Schooling, female (years) (2000)",11.26458907
"Expected Years of Schooling, female (years) (2001)",11.56486034
"Expected Years of Schooling, female (years) (2002)",11.8322897
"Expected Years of Schooling, female (years) (2003)",12.17189503
"Expected Years of Schooling, female (years) (2004)",12.51150036
"Expected Years of Schooling, female (years) (2005)",12.84243965
"Expected Years of Schooling, female (years) (2006)",12.96459961
"Expected Years of Schooling, female (years) (2007)",13.66469955
"Expected Years of Schooling, female (years) (2008)",13.57849026
"Expected Years of Schooling, female (years) (2009)",13.66643047
"Expected Years of Schooling, female (years) (2010)",13.72848034
"Expected Years of Schooling, female (years) (2011)",13.98661041
"Expected Years of Schooling, female (years) (2012)",13.78969955
"Expected Years of Schooling, female (years) (2013)",13.73351002
"Expected Years of Schooling, female (years) (2014)",16.23380089
"Expected Years of Schooling, female (years) (2015)",16.0196104
"Expected Years of Schooling, female (years) (2016)",15.80541992
"Expected Years of Schooling, female (years) (2017)",15.95060669
"Expected Years of Schooling, female (years) (2018)",16.09579346
"Expected Years of Schooling, female (years) (2019)",16.24098024
"Expected Years of Schooling, female (years) (2020)",16.24098024
"Expected Years of Schooling, female (years) (2021)",16.24098024
"Mean Years of Schooling, female (years) (1990)",4.112824904
"Mean Years of Schooling, female (years) (1991)",4.236805712
"Mean Years of Schooling, female (years) (1992)",4.360786521
"Mean Years of Schooling, female (years) (1993)",4.48476733
"Mean Years of Schooling, female (years) (1994)",4.608748138
"Mean Years of Schooling, female (years) (1995)",4.732728947
"Mean Years of Schooling, female (years) (1996)",4.851941263
"Mean Years of Schooling, female (years) (1997)",4.971153579
"Mean Years of Schooling, female (years) (1998)",5.090365895
"Mean Years of Schooling, female (years) (1999)",5.209578211
"Mean Years of Schooling, female (years) (2000)",5.328790527
"Mean Years of Schooling, female (years) (2001)",5.724575416
"Mean Years of Schooling, female (years) (2002)",6.120360306
"Mean Years of Schooling, female (years) (2003)",6.516145195
"Mean Years of Schooling, female (years) (2004)",6.911930084
"Mean Years of Schooling, female (years) (2005)",6.786220074
"Mean Years of Schooling, female (years) (2006)",6.660510063
"Mean Years of Schooling, female (years) (2007)",6.850017548
"Mean Years of Schooling, female (years) (2008)",7.039525032
"Mean Years of Schooling, female (years) (2009)",7.229032516
"Mean Years of Schooling, female (years) (2010)",7.418540001
"Mean Years of Schooling, female (years) (2011)",7.502973398
"Mean Years of Schooling, female (years) (2012)",7.587406794
"Mean Years of Schooling, female (years) (2013)",7.671840191
"Mean Years of Schooling, female (years) (2014)",7.819993337
"Mean Years of Schooling, female (years) (2015)",7.968146483
"Mean Years of Schooling, female (years) (2016)",8.116299629
"Mean Years of Schooling, female (years) (2017)",8.146104812999999
"Mean Years of Schooling, female (years) (2018)",8.175909996
"Mean Years of Schooling, female (years) (2019)",8.56564045
"Mean Years of Schooling, female (years) (2020)",8.56564045
"Mean Years of Schooling, female (years) (2021)",8.56564045
"Gross National Income Per Capita, female (2017 PPP$) (1990)",5207.135299750428
"Gross National Income Per Capita, female (2017 PPP$) (1991)",5563.491626455124
"Gross National Income Per Capita, female (2017 PPP$) (1992)",5983.715433997382
"Gross National Income Per Capita, female (2017 PPP$) (1993)",6438.791031890231
"Gross National Income Per Capita, female (2017 PPP$) (1994)",6869.649274185652
"Gross National Income Per Capita, female (2017 PPP$) (1995)",7424.814382439422
"Gross National Income Per Capita, female (2017 PPP$) (1996)",7811.129509322679
"Gross National Income Per Capita, female (2017 PPP$) (1997)",7521.169706434877
"Gross National Income Per Capita, female (2017 PPP$) (1998)",6736.072233291482
"Gross National Income Per Capita, female (2017 PPP$) (1999)",6987.862089346885
"Gross National Income Per Capita, female (2017 PPP$) (2000)",7344.740012744599
"Gross National Income Per Capita, female (2017 PPP$) (2001)",7430.635729515046
"Gross National Income Per Capita, female (2017 PPP$) (2002)",7781.262234540647
"Gross National Income Per Capita, female (2017 PPP$) (2003)",8246.778448281082
"Gross National Income Per Capita, female (2017 PPP$) (2004)",8646.84244995751
"Gross National Income Per Capita, female (2017 PPP$) (2005)",9061.925625389444
"Gross National Income Per Capita, female (2017 PPP$) (2006)",9448.122241168478
"Gross National Income Per Capita, female (2017 PPP$) (2007)",9991.613248444952
"Gross National Income Per Capita, female (2017 PPP$) (2008)",10086.67947405556
"Gross National Income Per Capita, female (2017 PPP$) (2009)",9898.558173906114
"Gross National Income Per Capita, female (2017 PPP$) (2010)",10944.04017086986
"Gross National Income Per Capita, female (2017 PPP$) (2011)",12464.00574636673
"Gross National Income Per Capita, female (2017 PPP$) (2012)",13018.37503571849
"Gross National Income Per Capita, female (2017 PPP$) (2013)",11624.68515119835
"Gross National Income Per Capita, female (2017 PPP$) (2014)",13168.75515012653
"Gross National Income Per Capita, female (2017 PPP$) (2015)",13689.31496519434
"Gross National Income Per Capita, female (2017 PPP$) (2016)",12563.5952509342
"Gross National Income Per Capita, female (2017 PPP$) (2017)",13039.637394311
"Gross National Income Per Capita, female (2017 PPP$) (2018)",15438.61001871765
"Gross National Income Per Capita, female (2017 PPP$) (2019)",16007.51947111987
"Gross National Income Per Capita, female (2017 PPP$) (2020)",15241.04109375857
"Gross National Income Per Capita, female (2017 PPP$) (2021)",15457.08409995538
HDI male (1990),.5898971997070581
HDI male (1991),.5987267239464635
HDI male (1992),.6065402147237677
HDI male (1993),.6155608583585044
HDI male (1994),.62185330524093
HDI male (1995),.6250690760547595
HDI male (1996),.6316720786535174
HDI male (1997),.6406217547417455
HDI male (1998),.6486557077664592
HDI male (1999),.6554047273409216
HDI male (2000),.6620131988280457
HDI male (2001),.673334291253578
HDI male (2002),.6846850522911843
HDI male (2003),.69480132838574
HDI male (2004),.7035504858768556
HDI male (2005),.7129541048214492
HDI male (2006),.7190755040797694
HDI male (2007),.7271040428747862
HDI male (2008),.7302775684804617
HDI male (2009),.7335640591785331
HDI male (2010),.737458545776459
HDI male (2011),.7397560836874947
HDI male (2012),.74222619164252
HDI male (2013),.7468821831699268
HDI male (2014),.7746068261973956
HDI male (2015),.7775149628721886
HDI male (2016),.7852280272155234
HDI male (2017),.7911961106780644
HDI male (2018),.7910634401018137
HDI male (2019),.7988084304248877
HDI male (2020),.7971296785447305
HDI male (2021),.7957663380107275
"Life Expectancy at Birth, male (years) (1990)",66.759
"Life Expectancy at Birth, male (years) (1991)",66.94
"Life Expectancy at Birth, male (years) (1992)",67.03
"Life Expectancy at Birth, male (years) (1993)",67.0652
"Life Expectancy at Birth, male (years) (1994)",67.1206
"Life Expectancy at Birth, male (years) (1995)",66.5445
"Life Expectancy at Birth, male (years) (1996)",67.2047
"Life Expectancy at Birth, male (years) (1997)",68.2281
"Life Expectancy at Birth, male (years) (1998)",68.7462
"Life Expectancy at Birth, male (years) (1999)",68.5754
"Life Expectancy at Birth, male (years) (2000)",68.43380000000001
"Life Expectancy at Birth, male (years) (2001)",68.79810000000001
"Life Expectancy at Birth, male (years) (2002)",69.13
"Life Expectancy at Birth, male (years) (2003)",69.3707
"Life Expectancy at Birth, male (years) (2004)",69.3304
"Life Expectancy at Birth, male (years) (2005)",70.03919999999999
"Life Expectancy at Birth, male (years) (2006)",70.952
"Life Expectancy at Birth, male (years) (2007)",71.1617
"Life Expectancy at Birth, male (years) (2008)",71.44970000000001
"Life Expectancy at Birth, male (years) (2009)",71.8169
"Life Expectancy at Birth, male (years) (2010)",72.0916
"Life Expectancy at Birth, male (years) (2011)",72.3519
"Life Expectancy at Birth, male (years) (2012)",72.6799
"Life Expectancy at Birth, male (years) (2013)",72.9584
"Life Expectancy at Birth, male (years) (2014)",73.27
"Life Expectancy at Birth, male (years) (2015)",73.5438
"Life Expectancy at Birth, male (years) (2016)",73.6879
"Life Expectancy at Birth, male (years) (2017)",74.0712
"Life Expectancy at Birth, male (years) (2018)",74.3152
"Life Expectancy at Birth, male (years) (2019)",74.6384
"Life Expectancy at Birth, male (years) (2020)",74.9539
"Life Expectancy at Birth, male (years) (2021)",74.518
"Expected Years of Schooling, male (years) (1990)",8.550834610000001
"Expected Years of Schooling, male (years) (1991)",8.787676597999999
"Expected Years of Schooling, male (years) (1992)",8.955973322
"Expected Years of Schooling, male (years) (1993)",9.232640266000001
"Expected Years of Schooling, male (years) (1994)",9.330427885000001
"Expected Years of Schooling, male (years) (1995)",9.426586628000001
"Expected Years of Schooling, male (years) (1996)",9.490735292
"Expected Years of Schooling, male (years) (1997)",9.888824463000001
"Expected Years of Schooling, male (years) (1998)",10.57011294
"Expected Years of Schooling, male (years) (1999)",10.88454199
"Expected Years of Schooling, male (years) (2000)",11.19897103
"Expected Years of Schooling, male (years) (2001)",11.51434994
"Expected Years of Schooling, male (years) (2002)",11.76249027
"Expected Years of Schooling, male (years) (2003)",11.89639521
"Expected Years of Schooling, male (years) (2004)",12.03030014
"Expected Years of Schooling, male (years) (2005)",12.59084034
"Expected Years of Schooling, male (years) (2006)",12.63883972
"Expected Years of Schooling, male (years) (2007)",12.9161396
"Expected Years of Schooling, male (years) (2008)",12.88873005
"Expected Years of Schooling, male (years) (2009)",12.90194988
"Expected Years of Schooling, male (years) (2010)",12.83675957
"Expected Years of Schooling, male (years) (2011)",13.05807972
"Expected Years of Schooling, male (years) (2012)",12.82361031
"Expected Years of Schooling, male (years) (2013)",12.60429001
"Expected Years of Schooling, male (years) (2014)",15.19363976
"Expected Years of Schooling, male (years) (2015)",15.12387991
"Expected Years of Schooling, male (years) (2016)",15.05412006
"Expected Years of Schooling, male (years) (2017)",15.22514389
"Expected Years of Schooling, male (years) (2018)",15.39616772
"Expected Years of Schooling, male (years) (2019)",15.56719155
"Expected Years of Schooling, male (years) (2020)",15.56719155
"Expected Years of Schooling, male (years) (2021)",15.56719155
"Mean Years of Schooling, male (years) (1990)",4.948542753
"Mean Years of Schooling, male (years) (1991)",5.061061823
"Mean Years of Schooling, male (years) (1992)",5.173580892
"Mean Years of Schooling, male (years) (1993)",5.286099962
"Mean Years of Schooling, male (years) (1994)",5.398619032
"Mean Years of Schooling, male (years) (1995)",5.511138101
"Mean Years of Schooling, male (years) (1996)",5.616768248
"Mean Years of Schooling, male (years) (1997)",5.722398395
"Mean Years of Schooling, male (years) (1998)",5.828028542
"Mean Years of Schooling, male (years) (1999)",5.933658689
"Mean Years of Schooling, male (years) (2000)",6.039288836
"Mean Years of Schooling, male (years) (2001)",6.39980912
"Mean Years of Schooling, male (years) (2002)",6.760329404
"Mean Years of Schooling, male (years) (2003)",7.120849688
"Mean Years of Schooling, male (years) (2004)",7.481369972
"Mean Years of Schooling, male (years) (2005)",7.391575098
"Mean Years of Schooling, male (years) (2006)",7.301780224
"Mean Years of Schooling, male (years) (2007)",7.431697726
"Mean Years of Schooling, male (years) (2008)",7.561615229
"Mean Years of Schooling, male (years) (2009)",7.691532731
"Mean Years of Schooling, male (years) (2010)",7.821450233
"Mean Years of Schooling, male (years) (2011)",7.936523438
"Mean Years of Schooling, male (years) (2012)",8.051596642
"Mean Years of Schooling, male (years) (2013)",8.166669846
"Mean Years of Schooling, male (years) (2014)",8.288586617
"Mean Years of Schooling, male (years) (2015)",8.410503387
"Mean Years of Schooling, male (years) (2016)",8.532420158000001
"Mean Years of Schooling, male (years) (2017)",8.559639931
"Mean Years of Schooling, male (years) (2018)",8.586859703
"Mean Years of Schooling, male (years) (2019)",8.838259697
"Mean Years of Schooling, male (years) (2020)",8.838259697
"Mean Years of Schooling, male (years) (2021)",8.838259697
"Gross National Income Per Capita, male (2017 PPP$) (1990)",8608.561139671814
"Gross National Income Per Capita, male (2017 PPP$) (1991)",9231.606286164288
"Gross National Income Per Capita, male (2017 PPP$) (1992)",9970.565744057052
"Gross National Income Per Capita, male (2017 PPP$) (1993)",10778.64417470008
"Gross National Income Per Capita, male (2017 PPP$) (1994)",11544.37717652965
"Gross National Income Per Capita, male (2017 PPP$) (1995)",12262.86735841726
"Gross National Income Per Capita, male (2017 PPP$) (1996)",12642.62541321006
"Gross National Income Per Capita, male (2017 PPP$) (1997)",12048.32414771606
"Gross National Income Per Capita, male (2017 PPP$) (1998)",10964.38831927931
"Gross National Income Per Capita, male (2017 PPP$) (1999)",11471.65693271711
"Gross National Income Per Capita, male (2017 PPP$) (2000)",11955.06004237776
"Gross National Income Per Capita, male (2017 PPP$) (2001)",12186.03406124737
"Gross National Income Per Capita, male (2017 PPP$) (2002)",12717.51214743701
"Gross National Income Per Capita, male (2017 PPP$) (2003)",13433.74093712636
"Gross National Income Per Capita, male (2017 PPP$) (2004)",14180.60283706725
"Gross National Income Per Capita, male (2017 PPP$) (2005)",14531.77990622899
"Gross National Income Per Capita, male (2017 PPP$) (2006)",15370.87132047627
"Gross National Income Per Capita, male (2017 PPP$) (2007)",16115.7047090687
"Gross National Income Per Capita, male (2017 PPP$) (2008)",16267.6816263754
"Gross National Income Per Capita, male (2017 PPP$) (2009)",16186.4640555775
"Gross National Income Per Capita, male (2017 PPP$) (2010)",16753.82990253638
"Gross National Income Per Capita, male (2017 PPP$) (2011)",15803.46135582886
"Gross National Income Per Capita, male (2017 PPP$) (2012)",16485.91156523536
"Gross National Income Per Capita, male (2017 PPP$) (2013)",18026.2029623317
"Gross National Income Per Capita, male (2017 PPP$) (2014)",16989.8901022701
"Gross National Income Per Capita, male (2017 PPP$) (2015)",17281.14560923192
"Gross National Income Per Capita, male (2017 PPP$) (2016)",19586.58151892646
"Gross National Income Per Capita, male (2017 PPP$) (2017)",20423.3433206997
"Gross National Income Per Capita, male (2017 PPP$) (2018)",19090.95954251615
"Gross National Income Per Capita, male (2017 PPP$) (2019)",19634.44598449969
"Gross National Income Per Capita, male (2017 PPP$) (2020)",18453.53726129753
"Gross National Income Per Capita, male (2017 PPP$) (2021)",18694.23633361116
Inequality-adjusted Human Development Index (value) (2010),.591
Inequality-adjusted Human Development Index (value) (2011),
Inequality-adjusted Human Development Index (value) (2012),
Inequality-adjusted Human Development Index (value) (2013),.622
Inequality-adjusted Human Development Index (value) (2014),.649
Inequality-adjusted Human Development Index (value) (2015),.652
Inequality-adjusted Human Development Index (value) (2016),.656
Inequality-adjusted Human Development Index (value) (2017),.661
Inequality-adjusted Human Development Index (value) (2018),.666
Inequality-adjusted Human Development Index (value) (2019),.6870000000000001
Inequality-adjusted Human Development Index (value) (2020),.6860000000000001
Inequality-adjusted Human Development Index (value) (2021),.6860000000000001
Coefficient of human inequality (2010),19.47561174
Coefficient of human inequality (2011),
Coefficient of human inequality (2012),
Coefficient of human inequality (2013),16.49212479966667
Coefficient of human inequality (2014),16.386705323
Coefficient of human inequality (2015),16.28933453933334
Coefficient of human inequality (2016),16.19998765366667
Coefficient of human inequality (2017),16.112623298
Coefficient of human inequality (2018),16.022958839
Coefficient of human inequality (2019),14.35077376266667
Coefficient of human inequality (2020),14.27089304833333
Coefficient of human inequality (2021),14.16798364233333
Overall loss (%) (2010),19.81004070556309
Overall loss (%) (2011),
Overall loss (%) (2012),
Overall loss (%) (2013),16.73360107095047
Overall loss (%) (2014),16.58097686375321
Overall loss (%) (2015),16.51728553137004
Overall loss (%) (2016),16.43312101910828
Overall loss (%) (2017),16.32911392405063
Overall loss (%) (2018),16.22641509433962
Overall loss (%) (2019),14.55223880597015
Overall loss (%) (2020),14.46384039900249
Overall loss (%) (2021),14.25
Inequality in life expectancy (2010),10.06338787
Inequality in life expectancy (2011),9.795066833
Inequality in life expectancy (2012),9.383507729
Inequality in life expectancy (2013),9.078384399000001
Inequality in life expectancy (2014),8.762125969
Inequality in life expectancy (2015),8.470013617999999
Inequality in life expectancy (2016),8.201972960999999
Inequality in life expectancy (2017),7.939879894
Inequality in life expectancy (2018),7.670886517
Inequality in life expectancy (2019),7.417031288
Inequality in life expectancy (2020),7.177389145
Inequality in life expectancy (2021),6.868660927
Inequality in eduation (2010),20.75671735
Inequality in eduation (2011),20.75671735
Inequality in eduation (2012),20.75671735
Inequality in eduation (2013),16.58373
